data,is_pii
"""Blue Ocean Technology"", ""alice.smith@samplemail.com"", ""45 Maple Drive, Springfield"", ""National Parks Initiative"", ""987-65-4320""",TRUE
"Starlight Innovations, 2565 Elm Street, Springfield, 62704, (555) 123-4567, janesmith@example.com",TRUE
"""Emily.Smith@example.com, Quantum Dynamics Corp, 789-45-2233, 123 Elm Street, Springfield""",TRUE
"Sunset Valley Apartments, 3421 Maple Drive, Springfield, IL 62704, contact@sunsetvalley.com, 555-0199, 9875-6421-5689-1234, Solar Energy Solutions",TRUE
"""Elegant Solutions Inc.""  
""Privacy Policy Update""  
""jack.smith@example.com""  
""456-78-1234""  
""Sunny Meadow Way, Springfield""  
""Quantum Leap Initiative""  
""Blue Ocean Strategy""",TRUE
"""Cloudy Peaks Resort, john.smith@email.com, 987-65-4321, Emerald Lake Half Marathon""",TRUE
"""Emily.Roberts75@gmail.com"", ""456 Elm Street, Springfield"", ""Acme Robotics"", ""8473-1922-1837-6457"", ""Smart Tech Innovations""",TRUE
"""235 Maple Avenue, Springfield"", ""jane.smith@company.com"", ""Quantum Leap Technologies"", ""3421-5678-9012-3456""",TRUE
"""alice.smith@example.com"", ""Tech Innovations LLC"", ""456 Elm Street, Springfield"", ""7481"", ""Passport Number: HZ1234567""",TRUE
"""hello.world@example.com"", ""Galactic Ventures"", ""456 Oak Street, Springfield"", ""987-65-4320"", ""Eagle Eye Drone""",TRUE
"""jane.smith@email.com"", ""Skyline Towers"", ""9876-5432-1098-7654"", ""Riverdale Park""",TRUE
"""Emma.Stone@randommail.com""  
""742 Evergreen Terrace, Springfield""  
""Global Solutions Inc.""  
""Binary Fusion Technology""  
""904-555-0198""",TRUE
"""alice.johnson@example.com, Creative Solutions LLC, 7501 Technology Dr, Austin, TX 78724, 555-018-7624""",TRUE
"""Skyline Technologies, 456 Greenway Drive, Denver, CO 80203, info@skylinetech.com, 303-555-0199""",TRUE
"""jane.smith@example.com"", ""4567 Maple Avenue, Springfield"", ""Sunset Valley Resort"", ""345-67-8901"", ""Green Tech Initiative""",TRUE
"Green Meadow Park, 2445 East Broadway, Springfield, IL, ""Innovative Solutions Inc.""",FALSE
"Sunnyvale Gardens, 5678 Rosewood Lane, Springfield, IL 62704, john.smith@gmail.com, Quantum Leap Technologies, 3.14, Orion Nebula",TRUE
"""Sarah.Conner@futuristicmail.com"", ""Green Lantern Initiative"", ""76-45-8901"", ""Sunset Boulevard, Los Angeles""",TRUE
"""7572 Elmwood Avenue, Springfield, IL 62704""",TRUE
"""Skyline Technologies, 45 River Run Rd, Apt 8B, Springfield, IL, 62704, USA; contact@skyline.com; 555-324-8976""",TRUE
"Blue Horizon Consulting, 4563 Maple Avenue, Springfield, IL, 62704, contact@bluehorizon.com, 815-555-0192, Project Alpha, 3098-2754-6812-9345",TRUE
"""Green Valley Park, Springfield""",FALSE
"Blue Ridge Solutions, info@blueridgesolutions.com, 456-78-9012, 123 Oak Lane, Springfield, 62704, Quantum Networking System",TRUE
"Green Valley Rd, Springfield  
849-362-1474  
Quantum Storage Device  
lisa.smith@samplemail.com",TRUE
"""Green Valley Park, 452 Oak Street, Springfield"", ""david.smith@email.com"", ""The Great Outdoors Initiative""",TRUE
"Crescent Moon Enterprises, 1234 Maple Lane, Springfield, IL 62704, contact@crescentmoon.com, 555-9876-5432, Industrial Widget Model X500",TRUE
"Skyline Innovations, 456 Mountain View Ave, Los Angeles, CA 90001, sarah.jones@example.com, 987-65-4321, EcoData System",TRUE
"Skyline Innovations  
jane.smith1990@example.com  
42 Maplewood Avenue, Springfield  
Quantum Leap Technologies  
987-65-4320  
Green Horizon Project",TRUE
"""contact@techsolutions.com, 478-291-3645, Evergreen Park, Chicago, 60005""",TRUE
"""Sarah.Connor99@example.com, 123-456-7890, Apex Innovations, 5678 Oakwood Lane, Springfield""",TRUE
"Blue Horizon Financial, 4321 Northgate Drive, Springfield, IL 62704, contact@bluehorizon.com, ""Artificial Intelligence Revolution""",TRUE
"Skyline Enterprises, 456 Elm Street, Springfield, john.smith@skyline.com, 987-65-4321, Eco-Friendly Initiative",TRUE
"""jane.smith@example.com"", ""The Great Outdoors"", ""42 Maple Avenue, Springfield"", ""Quantum Leap Technologies""",TRUE
"Sunrise Technology Solutions, 246 Maple Avenue, Springfield, TX 78945, contact@sunrisetech.com, 512-123-4567, Project Phoenix Initiative",TRUE
Emily.Smith12@gmail.com,TRUE
"""902-34-5678"", ""Innovative Solutions Ltd."", ""128 Maple Avenue, Springfield"", ""Skyline Development Initiative"", ""contact@innovativesolutions.com""",TRUE
"Pine Valley High School, john.smith@example.com, 555-123-4567, Quantum Computing Basics, 4.9",TRUE
"""Alice Johnson, 555-0123, Quantum Innovations, 742 Evergreen Terrace, Springfield, IL""",FALSE
"Mountain Ridge Blvd, Atlanta, GA 30328; chris.jones@fakemail.com; Quantum Entanglement Theory",TRUE
"""4557-1234-5678-9010"", ""Jessica.Brown@email.com"", ""Innovative Solutions Group"", ""654 Main St, Metropolis"", ""Alpha Technology"", ""123-45-6789""",TRUE
"""info.smith@email.com""",TRUE
"""tech.guru@service.com"", ""Green Valley Road, Springfield"", ""Global Enterprises"", ""4735-1289-7642-9831""",TRUE
"""Jane.Smith@example.com, Mountain Ridge Resort, 555-0123""",TRUE
"""jane.smith@example.com | Acme Solutions | 45 Maple Street, Springfield | 987-65-4320 | Green Earth Initiative""",TRUE
"""jane.smith@example.com, 983-12-4567, Riverstone Analytics, 123 Elm Street, Springfield""",TRUE
"""Marie.Smith@example.com, 800-555-0172, Eco-friendly Paint, Quantum Computing Research, 123 Main St, Springfield""",TRUE
"Blue Horizon Innovations, 432-21-6789, info@bluehorizon.com, Eco-Friendly Packaging Solutions",TRUE
"""jane.smith92@gmail.com, Quantum Robotics Lab, 678 Park Avenue, New York, 10123, 555-0123""",TRUE
"Green Valley Park, 4556 Oak Street, Springfield, IL 62704, ""contact@greenvalleypark.com"", ""987-654-3210""",TRUE
"""jane.smith@example.com; Quantum Dynamics Corp; 456 Oak Avenue, Springfield; 987-65-4320""",TRUE
"Bright Horizon Consulting, 73 Pine Street, Springfield, john.smith@email.com, 555-321-7654",TRUE
"Sunnyvale Park, 456 Elm Street, CA 94086, +1-650-555-1234, john.smith@email.com, Quantum Computing Advancement Initiative",TRUE
"""neon.vision@techmail.com"", ""Sunshine Meadows Drive, Suite 4B, Springfield"", ""Eco-Friendly Home Paint"", ""457-89-1234"", ""Galactic Innovation Summit""",TRUE
"Blue Horizon Initiative, 45 Maplewood Ave, Apt 3B, Springfield, 62701, (555) 123-4567, project-alpha@company.com, 123-45-6789",TRUE
"Skyline Innovations, 455 Marina Blvd, San Francisco, CA 94123, contact@skylineinnovations.com, 415-555-0123",TRUE
"Sunny Meadows Road, Springfield, IL, Eco-Friendly Products Inc.",FALSE
"Green Valley Park, Suite 202, Springfield, IL 62704, john.smith@email.com, Blue Ocean Strategy, 456-78-9123, Sunset Boulevard, 23344, Quantum Computing Initiative",TRUE
